iter	Passed	Remaining
271	332	891
272	334	889
273	335	888
274	336	887
275	337	886
276	339	884
277	340	883
278	341	882
279	342	880
280	343	879
281	344	878
282	346	877
283	347	875
284	348	874
285	349	872
286	350	871
287	351	870
288	353	869
289	354	867
290	355	866
291	356	865
292	358	863
293	359	862
294	360	861
295	361	860
296	362	858
297	364	857
298	365	856
299	366	854
300	367	853
301	368	852
302	370	851
303	371	849
304	372	848
305	373	847
306	374	846
307	376	844
308	377	843
309	378	842
310	379	841
311	380	839
312	381	838
313	383	836
314	384	835
315	385	834
316	386	833
317	387	831
318	389	830
319	390	829
320	391	828
321	392	827
322	393	825
323	395	824
324	396	823
325	397	822
326	398	820
327	400	819
328	401	818
329	402	817
330	403	815
331	404	814
332	406	813
333	407	813
334	409	812
335	410	811
336	411	810
337	412	808
338	414	807
339	415	806
340	416	805
341	417	803
342	419	802
343	420	801
344	421	799
345	422	798
346	423	797
347	425	796
348	426	795
349	427	794
350	428	792
351	430	791
352	431	790
353	432	789
354	433	788
355	435	787
356	436	785
357	437	784
358	438	783
359	440	782
360	441	781
361	442	780
362	443	779
363	445	777
364	446	776
365	447	775
366	448	774
367	449	772
368	451	771
369	452	770
370	473	802
371	474	801
372	476	800
373	477	799
374	482	803
375	484	803
376	489	808
377	490	807
378	493	809
379	495	807
380	496	806
381	497	804
382	499	804
383	500	803
384	501	801
385	503	800
386	504	798
387	505	798
388	507	797
389	509	796
390	510	795
391	511	793
392	513	793
393	514	791
394	516	790
395	517	789
396	519	789
397	520	787
398	522	786
399	523	784
400	524	783
401	526	783
402	527	781
403	528	780
404	530	778
405	531	778
406	533	777
407	534	775
408	535	774
409	537	772
410	538	772
411	540	770
412	541	769
413	542	767
414	543	766
415	545	766
416	547	765
417	548	763
418	549	762
419	552	763
420	554	762
421	555	760
422	557	760
423	559	759
424	560	758
425	562	757
426	563	756
427	565	756
428	568	756
429	570	755
430	572	756
431	574	755
432	575	753
433	577	752
434	579	752
435	580	750
436	581	749
437	583	748
438	584	747
439	586	746
440	587	744
441	588	743
442	590	742
443	592	741
444	593	740
445	594	738
446	596	737
447	598	736
448	599	735
449	600	734
450	602	732
451	603	732
452	605	730
453	606	729
454	607	728
455	609	726
456	610	725
457	612	724
458	613	723
459	614	721
460	616	721
461	618	720
462	619	718
463	620	717
464	622	716
465	624	715
466	626	714
467	627	713
468	629	712
469	631	712
470	632	710
471	634	709
472	635	708
473	637	707
474	638	705
475	640	704
476	641	703
477	643	702
478	644	701
479	646	700
480	647	698
481	649	698
482	651	697
483	652	695
484	654	694
485	656	693
486	658	693
487	659	691
488	661	690
489	663	690
490	664	689
491	666	688
492	668	687
493	670	686
494	672	685
495	673	684
496	675	683
497	677	682
498	678	681
499	679	679
500	681	678
501	682	677
502	683	675
503	685	674
504	686	673
505	688	671
506	689	670
507	690	668
508	692	667
509	693	666
510	694	664
511	695	663
512	697	662
513	698	660
514	700	659
515	701	657
516	702	656
517	703	655
518	705	653
519	706	652
520	707	650
521	709	649
522	710	647
523	712	646
524	713	645
525	714	643
526	715	642
527	716	640
528	718	639
529	719	638
530	720	636
531	721	635
532	723	633
533	724	632
534	725	630
535	727	629
536	728	628
537	729	626
538	731	625
539	732	623
540	733	622
541	735	621
542	736	619
543	737	618
544	738	616
545	740	615
546	741	613
547	742	612
548	743	611
549	745	609
550	746	608
551	747	606
552	748	605
553	750	603
554	751	602
555	752	601
556	753	599
557	755	598
558	757	597
559	758	596
560	760	595
561	762	594
562	763	592
563	765	591
564	767	590
565	768	589
566	770	588
567	771	586
568	772	585
569	774	584
570	775	582
571	776	581
572	778	579
573	779	578
574	780	576
575	782	575
576	783	574
577	785	573
578	787	572
579	788	571
580	790	570
581	792	569
582	794	567
583	795	566
584	797	565
585	799	564
586	800	563
587	802	562
588	804	561
589	805	559
590	806	558
591	808	556
592	809	555
593	810	554
594	811	552
595	812	551
596	814	549
597	816	548
598	818	547
599	819	546
600	820	544
601	822	543
602	823	542
603	824	540
604	825	539
605	827	537
606	828	536
607	830	535
608	832	534
609	833	532
610	835	531
611	836	530
612	837	528
613	839	527
614	840	526
615	841	524
616	843	523
617	844	522
618	846	520
619	847	519
620	848	517
621	850	516
622	851	515
623	852	513
624	854	512
625	855	511
626	856	509
627	858	508
628	859	506
629	860	505
630	862	504
631	863	502
632	864	501
633	866	500
634	867	498
635	868	497
636	870	495
637	871	494
638	872	493
639	874	491
640	875	490
641	877	489
642	878	487
643	879	486
644	881	485
645	882	483
646	884	482
647	885	480
648	886	479
649	888	478
650	889	476
651	890	475
652	892	474
653	893	472
654	894	471
655	896	469
656	897	468
657	898	467
658	900	465
659	901	464
660	902	462
661	904	461
662	905	460
663	906	458
664	907	457
665	909	455
666	910	454
667	911	453
668	913	451
669	914	450
670	915	448
671	916	447
672	918	446
673	919	444
674	921	443
675	922	442
676	923	440
677	924	439
678	926	437
679	927	436
680	928	435
681	930	433
682	931	432
683	933	431
684	934	429
685	936	428
686	937	427
687	938	425
688	940	424
689	941	422
690	942	421
691	944	420
692	945	418
693	946	417
694	948	416
695	949	414
696	950	413
697	951	411
698	952	410
699	954	408
700	955	407
701	956	406
702	958	404
703	959	403
704	960	401
705	961	400
706	963	399
707	965	398
708	967	396
709	968	395
710	970	394
711	972	393
712	974	392
713	975	390
714	977	389
715	978	388
716	980	386
717	981	385
718	982	384
719	984	382
720	985	381
721	986	379
722	988	378
723	989	377
724	990	375
725	992	374
726	993	373
727	994	371
728	996	370
729	997	368
730	998	367
731	1000	366
732	1001	364
733	1002	363
734	1003	361
735	1005	360
736	1006	359
737	1007	357
738	1009	356
739	1010	355
740	1011	353
741	1013	352
742	1014	350
743	1015	349
744	1017	348
745	1018	346
746	1019	345
747	1021	344
748	1022	342
749	1024	341
750	1025	339
751	1026	338
752	1027	337
753	1029	335
754	1030	334
755	1031	332
756	1033	331
757	1034	330
758	1035	328
759	1038	327
760	1039	326
761	1041	325
762	1042	323
763	1044	322
764	1045	321
765	1047	319
766	1048	318
767	1049	317
768	1051	315
769	1052	314
770	1053	313
771	1055	311
772	1056	310
773	1057	308
774	1059	307
775	1060	305
776	1061	304
777	1062	303
778	1063	301
779	1065	300
780	1066	299
781	1067	297
782	1069	296
783	1070	294
784	1071	293
785	1073	292
786	1074	290
787	1075	289
788	1076	288
789	1078	286
790	1079	285
791	1081	283
792	1082	282
793	1084	281
794	1086	280
795	1087	278
796	1088	277
797	1090	276
798	1091	274
799	1093	273
800	1094	271
801	1095	270
802	1097	269
803	1098	267
804	1100	266
805	1101	265
806	1102	263
807	1104	262
808	1105	261
809	1107	259
810	1108	258
811	1109	256
812	1111	255
813	1112	254
814	1113	252
815	1115	251
816	1116	250
817	1117	248
818	1118	247
819	1120	245
820	1121	244
821	1122	243
822	1124	241
823	1125	240
824	1127	239
825	1128	237
826	1130	236
827	1131	235
828	1133	233
829	1134	232
830	1135	230
831	1137	229
832	1138	228
833	1140	227
834	1142	225
835	1144	224
836	1146	223
837	1147	221
838	1149	220
839	1151	219
840	1152	217
841	1154	216
842	1156	215
843	1157	213
844	1159	212
845	1160	211
846	1161	209
847	1162	208
848	1164	207
849	1165	205
850	1166	204
851	1168	202
852	1169	201
853	1170	200
854	1172	198
855	1173	197
856	1174	196
857	1176	194
858	1177	193
859	1178	191
860	1180	190
861	1181	189
862	1182	187
863	1184	186
864	1185	185
865	1187	183
866	1188	182
867	1190	180
868	1191	179
869	1192	178
870	1194	176
871	1195	175
872	1196	174
873	1198	172
874	1199	171
875	1200	169
876	1202	168
877	1203	167
878	1204	165
879	1206	164
880	1207	163
881	1209	161
882	1210	160
883	1211	159
884	1213	157
885	1215	156
886	1217	155
887	1218	153
888	1220	152
889	1221	150
890	1222	149
891	1223	148
892	1225	146
893	1226	145
894	1228	144
895	1229	142
896	1231	141
897	1232	140
898	1234	138
899	1235	137
900	1236	135
901	1237	134
902	1239	133
903	1240	131
904	1241	130
905	1243	128
906	1245	127
907	1247	126
908	1248	125
909	1250	123
910	1252	122
911	1253	120
912	1255	119
913	1257	118
914	1258	116
915	1259	115
916	1261	114
917	1262	112
918	1263	111
919	1264	109
920	1266	108
921	1267	107
922	1268	105
923	1269	104
924	1270	103
925	1272	101
926	1273	100
927	1275	98
928	1277	97
929	1279	96
930	1280	94
931	1282	93
932	1283	92
933	1284	90
934	1285	89
935	1287	88
936	1288	86
937	1290	85
938	1291	83
939	1292	82
940	1294	81
941	1295	79
942	1296	78
943	1298	77
944	1299	75
945	1300	74
946	1301	72
947	1303	71
948	1304	70
949	1305	68
950	1307	67
951	1308	65
952	1309	64
953	1310	63
954	1312	61
955	1313	60
956	1314	59
957	1315	57
958	1317	56
959	1319	54
960	1320	53
961	1321	52
962	1322	50
963	1323	49
964	1325	48
965	1326	46
966	1327	45
967	1329	43
968	1330	42
969	1331	41
970	1333	39
971	1334	38
972	1335	37
973	1336	35
974	1338	34
975	1339	32
976	1340	31
977	1341	30
978	1343	28
979	1344	27
980	1345	26
981	1346	24
982	1348	23
983	1349	21
984	1350	20
985	1352	19
986	1353	17
987	1354	16
988	1355	15
989	1357	13
990	1358	12
991	1359	10
992	1360	9
993	1362	8
994	1363	6
995	1364	5
996	1366	4
997	1367	2
998	1368	1
999	1369	0
